Model,Train_R2,Test_R2,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Test_MAPE
linear_regression,0.5729816980919928,0.6240681493095592,0.7798605522845292,0.8087126340342966,0.6201136921428244,0.6545828261263947,4.31824955197848
ridge_regression,0.5729768211029115,0.6239569040831755,0.7798650056774189,0.808832281738078,0.6201197570589486,0.6546984836213554,4.319069736564056
random_forest,0.9280863025399738,0.5245066807138932,0.3200365040538131,0.9095192100037678,0.2536375629678133,0.7356264677787281,4.87615772071972
decision_tree,1.0,0.17417854083746953,0.0,1.1986233905642865,0.0,0.9513060208617924,6.2317864515563
lasso_regression,0.0,-0.004009648468341842,1.1934210899759243,1.3216261092286137,0.953652718866401,1.0582899579714673,7.043752188059176
