Model,Train_R2,Test_R2,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Test_MAPE
lasso_regression,0.9308136360994321,0.9473981211433748,80.24255703990413,75.84180462094069,61.18974310676535,56.64807750836831,4.144108693383154
ridge_regression,0.9322753920382412,0.947288988814149,79.39035722170756,75.92043778465835,60.85914178418883,57.23927602086086,4.186124117179357
linear_regression,0.9322849166322281,0.9472731989188927,79.38477440971562,75.93180814136194,60.88547481554577,57.31085963137525,4.190399012304751
random_forest,0.9876770078241998,0.9237310748352023,33.865117952585344,91.3233518241844,25.722809446189032,68.55783808758642,4.990447498254999
decision_tree,1.0,0.839650589562,0.0,132.416380822022,0.0,101.95677697107409,7.476361132401212
