Model,Train_R2,Test_R2,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Test_MAPE
ridge_regression,0.6346253301081832,0.5214204024341114,1.2954813340800648,1.366874298625568,1.0410101087569326,1.094047379038551,4.275668727148219
linear_regression,0.6346323239895468,0.5212132953356075,1.2954689351826258,1.3671700265996383,1.0410301085186568,1.0940932134369281,4.275573454238541
random_forest,0.9349167076278885,0.4675981567887476,0.5467599550046072,1.4416879304386008,0.4326070695122368,1.1351995771243601,4.439337640551659
lasso_regression,0.2834112210930262,0.24227693244674398,1.8142492134593016,1.7199140404130833,1.4584415032282552,1.4099132362306683,5.522789027163962
decision_tree,1.0,-0.12852707332890967,0.0,2.0989760278046625,0.0,1.6625971307325382,6.512790370924694
