Model,Train_R2,Test_R2,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Test_MAPE
linear_regression,0.6926546079755579,0.6709772964112772,1.235051884480546,1.1532710813344,0.9902700382092458,0.901032071917207,3.8692768609058708
ridge_regression,0.6926457910304943,0.6708160866206134,1.235069599576986,1.1535535782863189,0.9902629673999314,0.9013449133973916,3.87070034993891
random_forest,0.9462680828883314,0.5753219702841756,0.5164021213234545,1.3102324935206404,0.40330054547738714,1.0510916275478537,4.521602051628666
lasso_regression,0.37216922274617226,0.35159699343058104,1.7651968769781177,1.6189781173865223,1.4166640077823862,1.3174824065130353,5.630302091748749
decision_tree,1.0,0.09276945615383747,0.0,1.9150375780265712,0.0,1.5416278593564778,6.659388611536516
